lemma,pos,lang,text
accident,X,gallo,atout
accident,X,io,acidento
accident,X,it,accidente
accident,X,avk,walta
accident,X,oc,accident
accident,X,pcd,acchideint
accident,X,pt,acidente
accident,X,pt,sinistro
accident,X,solrésol,fasifasol
accident,X,sv,tillstötande
accident,X,sv,omständighet
accident,X,wa,accidint
accident,X,ar,عَرَض
accident,X,de,Versetzungszeichen
accident,X,en,sign
accident,X,ca,accident
accident,X,es,accidente
accident,X,it,accidente
accident,X,oc,accident
accident,X,sv,förtecken
accident,X,en,ground feature
accident,X,ca,accident
accident,X,hr,pomicanje sloja
accident,X,es,accidente
accident,X,it,asperità
accident,X,oc,accident
accident,X,sv,ojämnhet
accident,X,sv,backighet
accident,X,en,leap
accident,X,hr,odron
accident,X,en,occurrence
accident,X,hr,klizanje terena
accident,X,sq,aksident
accident,X,sq,fatkeqësi
accident,X,de,Unfall
accident,X,de,Unglücksfall
accident,X,de,Unglück
accident,X,en,accident
accident,X,en,misadventure
accident,X,bm,kasara
accident,X,br,gwallzarvoud
accident,X,hr,akcident
accident,X,da,ulykke
accident,X,da,ulykkestilfælde
accident,X,dog,tèmij
accident,X,eo,akcidento
accident,X,fo,vanlukka
accident,X,fi,onnettomuus
accident,X,fi,tapaturma
accident,X,fy,ûngelok
accident,X,el,δυστύχημα
accident,X,el,ατύχημα
accident,X,hu,baleset
accident,X,io,gibo
accident,X,id,kecelakaan
accident,X,is,óhapp
accident,X,is,slys
accident,X,la,accidens
accident,X,la,casus
accident,X,ms,kecelakaan
accident,X,yua,loob
accident,X,nap,accidente
accident,X,nl,ongeluk
accident,X,nl,ongeval
accident,X,nl,accident
accident,X,no,ulykke
accident,X,pap,aksidente
accident,X,pap,desgrasia
accident,X,pl,wypadek
accident,X,ro,accident
accident,X,ru,несчастный случай
accident,X,sv,ofall
accident,X,sv,olycksfall
accident,X,sw,tukio baya
accident,X,tl,sakunâ
accident,X,cs,úraz
accident,X,tr,arıza
accident,X,tr,kaza
accident,X,tr,olay
accorte,X,de,liebenswert
accorte,X,de,liebenswürdig
accoucher,X,akk,𒅇𒌅
accoucher,X,de,bei der Entbindung helfen
accoucher,X,de,entbinden
accoucher,X,de,entbunden werden
accoucher,X,de,niederkommen
accoucher,X,de,gebären
accoucher,X,de,zur Welt bringen
accoucher,X,en,give birth
accoucher,X,en,bear
accoucher,X,ar,⁧وَلَدَ
accoucher,X,arz,⁧خلّف
accoucher,X,aeb,وْلِد
accoucher,X,as,জগোৱা
accoucher,X,as,ওপজোৱা
accoucher,X,as,জম্মোৱা
accoucher,X,as,জন্ম দিয়া
accoucher,X,ast,parir
accoucher,X,az,doğmaq
accoucher,X,az,dünyaya gətirmək
accoucher,X,bm,wolo
accoucher,X,eu,erditu
accoucher,X,bn,প্রসব করা
accoucher,X,bn,জন্ম দেত্তয়া
accoucher,X,be,радзі́ць
accoucher,X,be,раджа́ць
accoucher,X,br,genel
accoucher,X,bg,ра́ждам
accoucher,X,bg,родя́
accoucher,X,bzu,ဖွား
accoucher,X,bzu,ဖွား
accoucher,X,bzu,မွေး
accoucher,X,yue,生
accoucher,X,yue,產／产
accoucher,X,yue,生育
accoucher,X,ca,parir
accoucher,X,ca,donar a llum
accoucher,X,co,apparturisce
accoucher,X,da,føde
accoucher,X,es,parir
accoucher,X,es,dar a luz
accoucher,X,eo,akuŝi
accoucher,X,eo,akuŝigi
accoucher,X,fo,føða
accoucher,X,fo,eiga
accoucher,X,fi,synnyttää
accoucher,X,fc,aiccoutchie
accoucher,X,fy,ferlosse
accoucher,X,el,γεννώ
accoucher,X,el,ξεγεννώ
accoucher,X,io,akushar
accoucher,X,is,ala
accoucher,X,is,fæða
accoucher,X,it,partorire
accoucher,X,it,parturire
accoucher,X,cmn,生
accoucher,X,cmn,生育
accoucher,X,cmn,產／产
accoucher,X,nl,verlossen
accoucher,X,nl,bevallen
accoucher,X,ny,-bala
accoucher,X,oc,s’ajaire
accoucher,X,oc,s’ajaçar
accoucher,X,oc,enfantar
accoucher,X,oc,pichonar
accoucher,X,pt,partejar
accoucher,X,pt,dar à luz
accoucher,X,pt,parir
accoucher,X,pt,ter
accoucher,X,ro,naște
accoucher,X,se,riegádahttit
accoucher,X,ses,duuboŋ
accoucher,X,sv,nedkomma
accoucher,X,sv,föda barn
accoucher,X,sv,förlosa
accoucher,X,sv,framkläcka
accoucher,X,crh,doğurmaq
accoucher,X,cs,porodit
accoucher,X,cs,rodit
accoucher,X,ckt,кмиӈэтык
accoucher,X,ckt,кымиӈэтык
accoucher,X,ckt,йыток
accoucher,X,uk,родити
accoucher,X,az,doğmaq
accoucher,X,ba,тыуҙырыу
accoucher,X,ba,бәпесләү
accoucher,X,ba,табыу
accoucher,X,br,gwilioudiñ
accoucher,X,bg,акуширам
accoucher,X,gcf,akouché
accoucher,X,hr,roditi
accoucher,X,eo,naski
accoucher,X,gallo,acoûcher
accoucher,X,sah,төрөт
accoucher,X,kab,arew
accoucher,X,krc,къозларгъа
accoucher,X,krc,сабий табаргъа
accoucher,X,kk,туу
accoucher,X,kk,босану
accoucher,X,ky,төрөө
accoucher,X,avk,radeká
accoucher,X,kum,яш тапмакъ
accoucher,X,lac,chukik yʌrʌkꞌ och
accoucher,X,lorrain,caboulè
accoucher,X,pl,rodzić
accoucher,X,pl,urodzić
accoucher,X,pt,dar a luz
accoucher,X,zdj,uzaya
accoucher,X,solrésol,resirefa
accoucher,X,crh,doğurmaq
accoucher,X,cv,çурат
accoucher,X,cv,ача ту
accoucher,X,ti,ምውላድ
accoucher,X,tr,doğurmak
accoucher,X,tr,doğum yapmak
accoucher,X,tk,dogurmak
accoucher,X,uk,родити
accoucher,X,wa,acoûtchî
accoucher,X,wo,wësin
accrocher,X,de,aufhängen
accrocher,X,de,hängen
accrocher,X,de,haken
accrocher,X,de,anhaken
accrocher,X,en,hang
accrocher,X,hr,objesiti
accrocher,X,hr,zakvačiti
accrocher,X,da,hænge op
accrocher,X,da,ophænge
accrocher,X,es,colgar
accrocher,X,eo,pendigi
accrocher,X,gallo,acrocher
accrocher,X,el,κρεμάω
accrocher,X,grec cargésien,cremó
accrocher,X,it,appendere
accrocher,X,it,agganciare
accrocher,X,kk,ілу
accrocher,X,avk,demá
accrocher,X,oc,penjar
accrocher,X,oc,crocar
accrocher,X,oc,acrancar
accrocher,X,pcd,ahoker
accrocher,X,pcd,ahotcher
accrocher,X,pt,pendurar
accrocher,X,pt,dependurar
accrocher,X,ru,вешать
accrocher,X,ru,повесить
accrocher,X,se,heaŋggastit
accrocher,X,solrésol,relasolsol
accrocher,X,sv,hänga upp
accrocher,X,sv,kroka fast
accrocher,X,wa,ahavter
accrocher,X,wa,agritchî
accrocher,X,wa,acrotchî
accrocher,X,de,hängenbleiben
accrocher,X,en,catch
accrocher,X,hr,zakačiti
accrocher,X,eo,alkroĉi
accrocher,X,it,impigliare
accrocher,X,kk,іліну
accrocher,X,pt,agarrar
accrocher,X,pt,segurar
accrocher,X,pt,afixar
accrocher,X,ru,зацеплять
accrocher,X,ru,зацепить
accrocher,X,solrésol,relasolsol
accrocher,X,hr,zakačiti
accrocher,X,da,borde
accrocher,X,da,entre
accrocher,X,avk,fandá
accrocher,X,pt,enganchar
accrocher,X,solrésol,relasolsol
accrocher,X,sv,äntra
accrocher,X,en,clip
accrocher,X,en,bend
accrocher,X,hr,zakačiti se
accrocher,X,da,påkøre
accrocher,X,es,chocar
accrocher,X,gallo,abroqer
accrocher,X,gallo,abrocher
accrocher,X,it,urtare
accrocher,X,pt,bater
accrocher,X,sv,kollidera
accrocher,X,en,hang
accrocher,X,hr,otkvačiti se
accrocher,X,da,hindre
accrocher,X,da,opholde
accrocher,X,pt,fixar
accrocher,X,sv,hindra
accrocher,X,sv,uppehålla
accrocher,X,en,hook
accrocher,X,en,land
accrocher,X,hr,uhvatiti
accrocher,X,hr,zakačiti
accrocher,X,it,attirare
accrocher,X,pt,segurar
accrocher,X,pt,engatar
accrocher,X,hr,zahvatiti
accrocher,X,it,abbordare
accrocher,X,it,agganciare
accrocher,X,pt,abordar
accrocher,X,pt,enganchar
accrocher,X,en,hock
accrocher,X,hr,čamiti
accrocher,X,pt,pendurar
accrocher,X,pt,penhorar
accrocher,X,pt,empenhar
accrocher,X,gsw-fr,àànhange
accrocher,X,en,hook
accrocher,X,en,couple
accrocher,X,en,secure
accrocher,X,en,hitch on
accrocher,X,en,hook on
accrocher,X,en,attach
accrocher,X,ca,agafar
accrocher,X,ca,enganxar
accrocher,X,es,enganchar
accrocher,X,es,colgar
accrocher,X,eo,kroĉi
accrocher,X,eo,alkroĉi
accrocher,X,fo,krøkja
accrocher,X,fo,krøkja upp á
accrocher,X,fo,heingja
accrocher,X,io,akrochar
accrocher,X,lac,chꞌuyik
accrocher,X,nl,haken
accrocher,X,nl,enteren
accrocher,X,nl,aanhaken
accrocher,X,nl,vasthaken
accrocher,X,oc,penjar
accrocher,X,oc,acrocar
accrocher,X,oc,agafar
accrocher,X,pcd,agroncher
accrocher,X,pcd,incrinquer
accrocher,X,pt,enganchar
accrocher,X,pt,engatar
accrocher,X,pt,pendurar
accrocher,X,ru,прицеплять
accrocher,X,ru,прикреплять
accrocher,X,ru,вешать
accrocher,X,se,heŋget
accrocher,X,se,gozastit
accrocher,X,ses,kosay
accroché,X,en,hooked
accroché,X,it,aggrappato
accroché,X,it,abbarbicato
accroché,X,se,heaŋgasii
acheter,X,de,kaufen
acheter,X,en,buy
acheter,X,ba,һатып алыу
acheter,X,basco-islandais,trucka
acheter,X,shi,ⵙⵖ
acheter,X,gcf-mq,genyen
acheter,X,gcf-mq,genyen
acheter,X,gcf-mq,achté
acheter,X,gcf-mq,genyen
acheter,X,hr,kupiti
acheter,X,fi,ostaa
acheter,X,gag,almaa
acheter,X,gag,kabletmää
acheter,X,gallo,ajeter
acheter,X,el,αγοράζω
acheter,X,grc,ὠνέομαι
acheter,X,he,לקנות
acheter,X,mww,yuav
acheter,X,sah,атыылас
acheter,X,krc,сатыб алыргъа
acheter,X,kk,алу
acheter,X,kk,сатып алу
acheter,X,kk,алып беру
acheter,X,ky,сатып алуу
acheter,X,avk,lusté
acheter,X,kum,сатып алмакъ
acheter,X,kum,алмакъ
acheter,X,lac,mʌnbar
acheter,X,la,emere
acheter,X,lep,ᰎᰦᰲ
acheter,X,lorrain,ehhta
acheter,X,nl,kopen
acheter,X,nog,сатып алув
acheter,X,oc,crompar
acheter,X,oc,achaptar
acheter,X,pandunia,xope
acheter,X,pcd,acater
acheter,X,poitevin-saintongeais,ajhetàe
acheter,X,poitevin-saintongeais,achetàe
acheter,X,pt,comprar
acheter,X,ru,купить
acheter,X,swb,ununua
acheter,X,zdj,uhula
acheter,X,zdj,uhulia
acheter,X,solrésol,laredola
acheter,X,sw,kununua
acheter,X,crh,satın almaq
acheter,X,tt,сатып алу
acheter,X,tt,алу
acheter,X,cv,туян
acheter,X,cv,ил
acheter,X,cv,сутăн ил
acheter,X,tok,esun
acheter,X,tk,almak
acheter,X,tk,satyn almak
acheter,X,vi,mua
acheter,X,wa,atchter
acheter,X,de,bestechen
acheter,X,de,kaufen
acheter,X,hr,potkupiti
acheter,X,nl,omkopen
acheter,X,oc,achaptar
acheter,X,poitevin-saintongeais,ajhetàe
acheter,X,poitevin-saintongeais,achetàe
acheter,X,pt,comprar
acheter,X,ru,подкупить
acheter,X,zdj,ulipva
acheter,X,vi,mua chuộc
acheter,X,pt,comprar
acheter,X,af,aankoop
acheter,X,af,koop
acheter,X,af,aanskaf
acheter,X,sq,blej
acheter,X,gsw-fr,khoejfe
acheter,X,de,kaufen
acheter,X,de,sich kaufen
acheter,X,de,einkaufen
acheter,X,de,abkaufen
acheter,X,de,erstehen
acheter,X,en,buy
acheter,X,en,purchase
acheter,X,en,take over
acheter,X,ang,bycgan
acheter,X,ang,ceapian
acheter,X,ar,إشترى
acheter,X,akr,voli
acheter,X,aii,zvənə
acheter,X,hy,գնել
acheter,X,az,almaq
acheter,X,eu,erosi
acheter,X,br,prenañ
acheter,X,bg,купува
acheter,X,ca,comprar
acheter,X,zh,收买
acheter,X,zh,购买
acheter,X,zh,买
acheter,X,zh,行贿
acheter,X,ko,구입하다
acheter,X,ko,구매하다
acheter,X,ko,매입하다
acheter,X,kw,prena
acheter,X,co,cumpra
acheter,X,co,cumprà
acheter,X,co,cumprà
acheter,X,hr,kupiti
acheter,X,hr,kupovati
acheter,X,da,købe
acheter,X,es,comprar
acheter,X,es,procurarse
acheter,X,eo,aĉeti
acheter,X,et,ostma
acheter,X,fo,keypa
acheter,X,fi,ostaa
acheter,X,fy,oanhannelje
acheter,X,fy,oankeapje
acheter,X,fy,oanriede
acheter,X,fy,oantuge
acheter,X,gd,ceannaich
acheter,X,gl,mercar
acheter,X,gallo,acheter
acheter,X,cy,prynu
acheter,X,el,αγοράζω
acheter,X,grc,πρίαμαι
acheter,X,griko,aforàzo
acheter,X,griko,foràzo
acheter,X,griko,avoràzo
acheter,X,griko,voràzo
acheter,X,hu,vásárol
acheter,X,hu,vesz
acheter,X,io,komprar
acheter,X,id,beli
acheter,X,id,membeli
acheter,X,is,kaupa
acheter,X,it,comperare
acheter,X,it,comprare
acheter,X,ja,買う
acheter,X,ja,購入する
acheter,X,ja,購買する
acheter,X,ja,買い入れる
acheter,X,kab,aɣ
acheter,X,ku,kirrîn
acheter,X,la,emere
acheter,X,lv,pirkt
acheter,X,lt,pirkti
acheter,X,ms,beli
acheter,X,mg,mividy
acheter,X,mt,xtara
acheter,X,arn,ngillan
acheter,X,arn,gillan
acheter,X,yua,manik
acheter,X,mn,авах
acheter,X,nl,kopen
acheter,X,nl,afnemen
acheter,X,nl,aankopen
acheter,X,nl,inkopen
acheter,X,nl,aanschaffen
acheter,X,nl,overnemen
acheter,X,normand,acataer
acheter,X,normand,acater
acheter,X,no,kjøpe
acheter,X,oc,crompar
acheter,X,oc,comprar
acheter,X,oc,achaptar
acheter,X,oma,ðįwį́
acheter,X,pln,komblá
acheter,X,pap,kumpra
acheter,X,pcd,acater
acheter,X,plodarisch,kafn
acheter,X,pl,kupić
acheter,X,pl,kupować
acheter,X,pt,comprar
acheter,X,ro,cumpăra
acheter,X,ru,покупать
acheter,X,ru,купить
acheter,X,se,oastit
acheter,X,sg,vo
acheter,X,sr,купити
acheter,X,sk,kúpiť
acheter,X,sk,kupovať
acheter,X,srn,bay
acheter,X,sv,anskaffa
acheter,X,sv,köpa
acheter,X,sw,nunua
acheter,X,tl,bilhin
acheter,X,tl,bumilí
acheter,X,cs,koupit
acheter,X,cs,kupovat
acheter,X,tr,almak
acheter,X,tr,satın almak
acheter,X,tk,алмак
acheter,X,tk,сатын алмак
acheter,X,vep,ostta
acheter,X,vot,õssaa
acheter,X,win,ruwį́
acheter,X,zu,-thenga
acheté,X,gallo,d’achetis
acheté,X,gallo,achetë
acrimonie,X,de,Schärfe
acrimonie,X,de,Heftigkeit
acrimonie,X,en,acrimony
acrimonie,X,ca,acrimònia
acrimonie,X,hr,ljutost
acrimonie,X,da,skarphed
acrimonie,X,es,acrimonia
acrimonie,X,eo,akreco
acrimonie,X,fy,skerpens
acrimonie,X,fy,skerpte
acrimonie,X,hu,élesség
acrimonie,X,io,akra sentimento
acrimonie,X,is,hvassleiki
acrimonie,X,is,skarpskyggni
acrimonie,X,it,acrimonia
acrimonie,X,la,acies
acrimonie,X,la,acritas
acrimonie,X,la,acror
acrimonie,X,la,acumen
acrimonie,X,nl,felheid
acrimonie,X,nl,guurheid
acrimonie,X,nl,schelheid
acrimonie,X,nl,scherpheid
acrimonie,X,nl,schrilheid
acrimonie,X,nl,scherpte
acrimonie,X,oc,acrimoniá
acrimonie,X,pl,zgryźliwość
acrimonie,X,pt,acrimônia
acrimonie,X,pt,acuidade
acrimonie,X,pt,agrura
acrimonie,X,pt,agudeza
acrimonie,X,ro,acrimonie
acrimonie,X,ro,sarcasm
acrimonie,X,solrésol,r'esimi
acrimonie,X,sv,skärpa
acrimonie,X,sw,ukali
adam,X,af,Adam
adam,X,sq,Adami
adam,X,de,Adam
adam,X,en,Adam
adam,X,ar,آدم
adam,X,arc,ܐܕܡ
adam,X,aae,Adham
adam,X,bs,Adem
adam,X,bg,Адам
adam,X,ca,Adam
adam,X,ko,아담
adam,X,hr,Adam
adam,X,da,Adam
adam,X,es,Adán
adam,X,eo,Adamo
adam,X,et,Aadam
adam,X,fi,Aadam
adam,X,gl,Adán
adam,X,gallo,Adan
adam,X,gallo,Aden
adam,X,gallo-italique de sicile,Adäm
adam,X,el,Αδάμ
adam,X,hu,Ádám
adam,X,id,Adam
adam,X,it,Adamo
adam,X,ja,アダム
adam,X,kk,Адам
adam,X,rw,Adamu
adam,X,ku,Adem
adam,X,ber,Adam
adam,X,ber,Adem
adam,X,ber,Adm
adam,X,la,Adam
adam,X,lt,Adomas
adam,X,mn,Адам
adam,X,na,Adam
adam,X,nl,Adam
adam,X,no,Adam
adam,X,nn,Adam
adam,X,fa,آدم
adam,X,pl,Adam
adam,X,pt,Adão
adam,X,ru,Адам
adam,X,sr,Адам
adam,X,swb,Adamu
adam,X,zdj,Adamu
adam,X,scn,Adamu
adam,X,scn,Addamu
adam,X,sk,Adam
adam,X,sl,Adam
adam,X,sv,Adam
adam,X,ta,ஆதாம்
adam,X,cs,Adam
adam,X,th,อาดัม
adam,X,tr,Âdem
adam,X,vi,Adam
adam,X,wa,Adan
adam,X,yo,Ádámù
adieu,X,de,Lebwohl
adieu,X,angevin,adé
adieu,X,en,farewell
adieu,X,az,xudahafiz
adieu,X,br,kenavo
adieu,X,hr,zbogom
adieu,X,da,farvel
adieu,X,es,adiós
adieu,X,eo,adiaŭ
adieu,X,fi,hyvästi
adieu,X,frp,adyu
adieu,X,el,αντίο
adieu,X,hu,isten veled
adieu,X,it,addio
adieu,X,ja,さようなら
adieu,X,ja,さらば
adieu,X,kk,қош
adieu,X,kk,қош бол
adieu,X,lfn,adio
adieu,X,nl,vaarwel
adieu,X,no,farvel
adieu,X,oc,adieu
adieu,X,pcd,adiu
adieu,X,pt,adeus
adieu,X,ro,adio
adieu,X,ru,прощальный привет
adieu,X,salentin,addìu
adieu,X,scn,addiu
adieu,X,sl,zbogom
adieu,X,sv,farväl
adieu,X,cs,sbohem
adieu,X,tr,veda
adieu,X,uk,прощання
adieu,X,wa,diewåde
adolescent,X,en,teenage
adolescent,X,en,teenaged
adolescent,X,en,adolescent
adolescent,X,az,gənc
adolescent,X,tr,genç
adolescent,X,ca,adolescent
adolescent,X,hr,mlad
adolescent,X,es,adolescente
adolescent,X,eo,plenkreskiĝa
adolescent,X,fc,aidolécheint
adolescent,X,el,εφηβικός
adolescent,X,io,adolecanta
adolescent,X,it,adolescente
adolescent,X,avk,sardaf
adolescent,X,lfn,adolesente
adolescent,X,moh,ranekénhteron
adolescent,X,oc,adolescent
adolescent,X,pl,nastoletni
adolescent,X,pl,małoletni
adolescent,X,pt,adolescente
adolescent,X,ru,подростковый
adolescent,X,ru,отроческий
adolescent,X,solrésol,domif'asol
adolescent,X,cs,dospívající
adolescent,X,uk,недоліток
adolescent,X,cu,юноша
adolescent,X,cu,юнота
adorable,X,af,aanbidbaar
adorable,X,af,aanbiddelik
adorable,X,de,anbetenswert
adorable,X,de,himmlisch
